barrio,dia,direccion_viento_tarde,direccion_viento_temprano,horas_de_sol,humedad_tarde,humedad_temprano,id,llovieron_hamburguesas_hoy,mm_evaporados_agua,mm_lluvia_dia,nubosidad_tarde,nubosidad_temprano,presion_atmosferica_tarde,presion_atmosferica_temprano,rafaga_viento_max_direccion,rafaga_viento_max_velocidad,temp_max,temp_min,temperatura_tarde,temperatura_temprano,velocidad_viendo_tarde,velocidad_viendo_temprano
Belgrano,2011-08-27,Estesureste,Este,0.2,94.0,96.0,13005,si,5.4,11.2,8.0,8.0,1017.0,1020.8,Sureste,33.0,16.0,13.9,15.8,14.2,15.0,19.0
Villa Crespo,2016-10-12,Sur,Sur,,31.0,57.0,108314,no,7.2,0.0,,1.0,1022.0,1024.6,suroeste,50.0,21.0,8.2,18.7,12.1,22.0,22.0
Coghlan,2013-06-27,suroeste,Sursuroeste,,94.0,98.0,25707,si,,3.2,,,,,Sursuroeste,20.0,17.5,12.1,15.5,14.7,7.0,7.0
Palermo,2014-02-19,Oestesuroeste,Noroeste,9.3,32.0,71.0,65977,no,7.2,0.0,6.0,4.0,996.9,999.2,Oeste,67.0,25.7,15.5,23.8,17.9,17.0,13.0
Villa Real,2011-10-18,Nornoreste,Nornoreste,12.6,16.0,44.0,131012,no,2.8,0.0,,,1025.1,1028.8,Norte,46.0,25.2,6.5,24.3,13.2,26.0,19.0
Belgrano,2013-03-17,Sursuroeste,Sursuroeste,11.7,21.0,39.0,13514,no,8.4,0.0,0.0,0.0,1011.3,1012.0,Sursuroeste,52.0,28.4,16.6,27.5,21.4,30.0,33.0
Mataderos,2010-05-22,,,,39.0,73.0,49560,no,,0.0,,,1021.0,1023.3,Sureste,22.0,14.7,1.3,13.5,7.7,,0.0
Núñez,2013-08-20,Oeste,Oeste,8.3,68.0,77.0,62785,si,2.6,1.4,5.0,3.0,1012.9,1014.0,Oeste,57.0,10.5,4.2,9.5,6.8,31.0,31.0
Caballito,2015-05-18,Sursuroeste,Oestesuroeste,,96.0,92.0,20349,no,,0.0,,,1027.4,1031.5,Oeste,20.0,17.5,14.1,17.2,15.6,6.0,7.0
La Boca,2009-01-31,Estenoreste,Norte,12.0,44.0,61.0,39568,no,9.8,0.0,3.0,1.0,1013.6,1017.2,Estenoreste,54.0,33.7,19.0,32.2,26.1,28.0,13.0
Nueva Pompeya,2011-01-08,Norte,Noreste,,23.0,59.0,58910,no,,0.0,5.0,1.0,1007.1,1010.1,Sursureste,61.0,34.8,19.7,34.1,25.1,17.0,13.0
Boedo,2010-08-09,,Noroeste,,59.0,97.0,15692,no,,0.1,1.0,2.0,,,,,19.5,3.8,18.2,8.6,0.0,2.0
Villa Ortúzar,2010-02-14,Estesureste,Este,,25.0,66.0,124240,no,,0.0,,,,,Sureste,41.0,33.0,10.3,32.1,20.7,17.0,17.0
Villa Urquiza,2016-03-16,Oestenoroeste,Sursureste,,,88.0,143415,no,5.0,1.0,,8.0,1001.6,1005.6,Sureste,35.0,34.5,22.5,,28.0,6.0,9.0
San Telmo,2012-11-07,Oestenoroeste,Noroeste,,38.0,64.0,97880,no,5.0,0.2,,,1011.2,1012.5,Oestenoroeste,44.0,23.3,12.8,22.3,16.7,20.0,9.0
Núñez,2012-05-09,Oestenoroeste,Nornoreste,3.7,38.0,57.0,62376,no,2.4,0.0,7.0,4.0,1013.5,1014.5,Oestenoroeste,39.0,23.0,6.9,21.4,18.0,24.0,9.0
Monserrat,2017-02-06,Sureste,Sursureste,,77.0,99.0,58002,si,,36.4,8.0,8.0,1015.8,1014.3,Sureste,50.0,14.8,11.7,13.5,11.9,33.0,31.0
Villa Urquiza,2016-12-10,Sureste,Oestesuroeste,,,53.0,143684,no,8.0,0.0,,2.0,1005.3,1010.6,Este,52.0,40.1,26.5,,33.0,6.0,9.0
Monte Castro,2010-08-08,,,,49.0,11.0,52677,no,,0.0,,,,,,,4.5,-4.0,3.9,0.9,,
Villa Lugano,2016-09-01,Oestesuroeste,Sursureste,10.4,48.0,74.0,120340,no,2.8,0.8,1.0,0.0,1023.4,1026.5,Oestesuroeste,31.0,17.5,3.5,16.9,11.0,19.0,9.0
Villa Devoto,2013-11-13,Sursureste,Sursureste,,62.0,63.0,113299,no,,0.0,,,1016.6,1018.4,Sursureste,61.0,21.8,13.5,18.9,17.8,35.0,33.0
Parque Chacabuco,2017-03-29,Noroeste,,11.7,21.0,51.0,73313,no,23.2,0.0,,0.0,1008.1,1011.4,Oestesuroeste,52.0,29.5,11.1,28.8,16.7,17.0,0.0
Núñez,2011-07-12,Oestenoroeste,Oeste,5.3,53.0,61.0,62074,no,2.2,0.0,6.0,6.0,1016.4,1019.8,Oeste,70.0,13.8,8.6,12.8,10.7,44.0,31.0
Almagro,2013-06-09,Nornoreste,suroeste,,62.0,100.0,4571,no,,0.0,,,1023.8,1028.7,Nornoreste,24.0,18.6,5.9,17.8,11.1,11.0,4.0
Villa Soldati,2013-09-21,Nornoreste,Estenoreste,8.7,40.0,78.0,140930,no,6.4,0.0,5.0,4.0,1008.4,1012.1,Noroeste,33.0,34.4,23.9,32.7,28.3,20.0,9.0
Parque Patricios,2010-09-29,Oestesuroeste,Sursuroeste,8.9,52.0,62.0,75616,si,1.4,1.6,6.0,7.0,1025.6,1025.5,suroeste,41.0,12.7,6.5,12.5,9.6,20.0,19.0
Boedo,2012-09-18,Noreste,,,60.0,75.0,16433,si,,2.0,5.0,1.0,,,,,23.6,9.4,21.4,16.2,7.0,0.0
Núñez,2011-01-31,Este,Sureste,12.1,42.0,59.0,61942,no,9.8,0.0,3.0,3.0,1011.0,1013.9,Sureste,37.0,30.5,17.0,29.6,23.3,22.0,13.0
Parque Avellaneda,2012-01-03,Sur,Estenoreste,5.4,50.0,59.0,68451,no,16.2,0.0,7.0,7.0,1011.1,1012.0,Oeste,41.0,29.8,23.5,26.4,26.4,19.0,9.0
Villa Lugano,2011-11-30,Estesureste,Estenoreste,12.7,16.0,34.0,118662,no,10.4,0.0,0.0,1.0,1016.7,1021.5,Este,65.0,28.2,12.4,27.4,19.4,20.0,30.0
Villa Crespo,2015-03-27,Estesureste,Sursureste,,28.0,49.0,107749,no,8.0,0.0,1.0,0.0,1024.6,1028.5,Estesureste,33.0,23.0,9.7,21.1,13.5,11.0,20.0
Villa Real,2010-07-04,Noroeste,Nornoreste,3.8,59.0,85.0,130571,no,1.0,0.0,7.0,4.0,1023.0,1026.4,Noroeste,46.0,13.2,4.6,13.0,6.5,26.0,6.0
Barracas,2013-08-22,Noreste,suroeste,,38.0,41.0,10663,no,3.2,0.0,3.0,3.0,1014.5,1017.3,suroeste,28.0,18.0,2.2,16.9,14.9,20.0,11.0
Parque Chas,2015-03-30,Oeste,Sursureste,,30.0,76.0,74161,no,,0.0,,,1023.2,1024.4,Sur,33.0,26.3,9.0,24.7,12.5,9.0,7.0
Retiro,2010-08-03,Oeste,Oeste,10.2,38.0,54.0,84770,no,9.2,0.0,1.0,1.0,1012.2,1014.9,Oeste,39.0,20.7,10.2,20.2,13.8,13.0,17.0
Villa General Mitre,2016-11-24,Sursureste,Estenoreste,13.0,14.0,30.0,117415,no,,0.0,,,1014.6,1018.2,Este,65.0,35.1,18.3,33.5,26.8,20.0,13.0
Villa Crespo,2010-08-16,suroeste,Oestesuroeste,7.7,48.0,88.0,106154,no,3.4,0.0,7.0,6.0,1020.7,1022.6,Sursuroeste,22.0,17.0,4.8,16.2,9.6,11.0,13.0
Flores,2016-12-21,Sureste,Sur,10.4,56.0,70.0,36342,no,10.0,0.0,2.0,3.0,1012.3,1012.4,Sur,56.0,25.4,18.2,24.1,21.6,28.0,17.0
La Paternal,2014-02-13,Noreste,Nornoreste,,75.0,83.0,44358,no,,0.8,,,1011.4,1015.0,Noreste,31.0,25.4,20.5,24.6,22.6,24.0,11.0
Retiro,2014-01-17,Este,Este,12.2,47.0,55.0,85944,no,10.4,0.2,1.0,3.0,1013.5,1016.4,Este,35.0,30.8,20.8,28.8,26.5,15.0,13.0
Villa General Mitre,2010-10-07,Este,Estenoreste,11.5,13.0,33.0,115264,no,,0.0,0.0,0.0,1021.8,1027.4,Este,37.0,28.1,12.5,27.6,18.0,17.0,20.0
Boedo,2016-05-29,,Noroeste,,,71.0,17723,no,,0.0,,0.0,,,,,19.2,9.0,,11.8,,9.0
Villa Riachuelo,2017-05-28,Noroeste,Noroeste,,77.0,96.0,136042,si,,23.6,8.0,8.0,,,Norte,43.0,14.3,9.6,12.6,10.3,9.0,4.0
Retiro,2011-05-03,,Sur,6.9,88.0,74.0,85013,no,4.0,0.0,7.0,3.0,1010.9,1014.5,Oeste,31.0,25.7,15.6,18.1,20.7,0.0,4.0
La Boca,2014-03-31,Sursureste,suroeste,9.5,67.0,93.0,41364,si,6.6,11.0,3.0,4.0,1019.6,1022.0,suroeste,41.0,25.5,16.0,24.4,20.0,20.0,7.0
Villa Devoto,2010-10-06,Sursureste,Este,,48.0,50.0,112254,no,,0.2,,,1029.1,1031.3,Sur,39.0,18.9,2.4,17.5,14.2,22.0,15.0
Balvanera,2010-01-03,Sursuroeste,Sursureste,12.7,16.0,40.0,6416,no,11.4,0.0,1.0,1.0,1013.0,1015.0,Sursuroeste,37.0,29.8,18.1,28.1,20.7,13.0,19.0
Monserrat,2014-12-29,Oestesuroeste,Norte,,60.0,48.0,57232,no,,0.0,8.0,8.0,1002.7,1001.0,Oestenoroeste,78.0,22.2,8.8,14.9,17.4,35.0,26.0
Núñez,2016-05-20,Oestesuroeste,Oestesuroeste,,57.0,81.0,63789,si,,1.8,,1.0,1021.5,1021.7,Oeste,44.0,17.4,11.1,16.1,13.1,22.0,11.0
Monte Castro,2012-08-03,Oestesuroeste,Oestesuroeste,,87.0,,53373,no,,0.0,,,,,Oestesuroeste,46.0,1.6,-4.6,-0.1,,19.0,15.0
Mataderos,2010-10-31,Nornoreste,Norte,,54.0,89.0,49722,si,,17.6,,,1012.3,1012.2,Oestenoroeste,44.0,20.1,14.4,18.6,14.9,19.0,17.0
Villa Soldati,2010-12-28,Oeste,,0.7,76.0,84.0,140021,si,0.8,33.4,8.0,7.0,1002.0,1003.7,Oestenoroeste,41.0,29.3,24.3,28.0,26.8,19.0,0.0
Colegiales,2010-05-27,Oeste,Sursuroeste,,88.0,76.0,27678,si,2.2,16.2,,,1018.2,1018.7,Sursureste,28.0,17.7,12.3,15.3,15.1,4.0,13.0
Boedo,2014-02-21,Noreste,Sureste,,41.0,38.0,16895,no,,0.0,4.0,8.0,,,,,25.5,19.8,25.1,21.4,9.0,15.0
Saavedra,2009-10-17,Estenoreste,Estesureste,11.1,31.0,55.0,87520,no,5.4,0.0,1.0,6.0,1011.6,1014.2,Estenoreste,37.0,33.7,18.0,31.3,28.4,28.0,13.0
Versalles,2011-05-16,Estenoreste,,9.9,45.0,74.0,103388,no,1.6,0.0,1.0,1.0,1030.9,1034.5,Noreste,20.0,14.5,-0.1,14.0,8.4,13.0,0.0
Villa Lugano,2017-05-06,Este,Este,9.5,34.0,76.0,120587,no,3.4,0.0,5.0,6.0,1024.4,1027.5,Estenoreste,33.0,26.8,12.4,25.7,16.5,13.0,22.0
La Paternal,2011-05-24,Sursureste,Oestesuroeste,,69.0,54.0,43421,no,,0.0,8.0,,1005.0,1005.1,Sursuroeste,67.0,17.9,13.2,16.0,16.5,15.0,22.0
Mataderos,2013-05-12,Nornoreste,,,41.0,79.0,50556,no,,0.0,,,1022.6,1027.5,Oestenoroeste,30.0,20.7,6.4,19.5,12.6,15.0,0.0
Villa del Parque,2009-09-16,Oestenoroeste,Noroeste,7.8,80.0,72.0,108860,no,3.2,0.4,5.0,3.0,1013.9,1014.9,,,17.8,7.5,15.0,13.0,4.0,9.0
Puerto Madero,2011-01-09,Sursuroeste,Sur,0.0,69.0,80.0,78727,si,8.4,8.0,8.0,8.0,1017.2,1018.8,Sursuroeste,31.0,22.3,17.2,21.6,18.1,17.0,9.0
Parque Patricios,2015-07-24,Noroeste,Nornoreste,6.3,92.0,85.0,77286,no,2.0,0.2,8.0,8.0,1006.9,1009.0,Oestenoroeste,54.0,13.3,5.5,10.3,10.4,28.0,20.0
Palermo,2016-04-04,Sureste,Sursureste,10.5,33.0,67.0,66752,no,4.0,0.0,1.0,0.0,1017.4,1023.1,Sureste,26.0,23.8,7.7,22.8,14.2,9.0,9.0
Villa del Parque,2011-01-30,,,0.0,79.0,83.0,109361,si,5.6,14.0,8.0,8.0,1012.1,1014.1,,,21.5,19.6,21.1,20.2,0.0,0.0
La Boca,2016-04-11,Sur,Oestenoroeste,8.6,42.0,51.0,42106,no,10.8,0.0,1.0,1.0,1016.0,1017.9,Sur,41.0,25.3,13.5,23.3,21.4,30.0,15.0
Villa Ortúzar,2014-01-13,Sursuroeste,Sursuroeste,,46.0,63.0,125572,no,,0.0,,,,,Sursuroeste,46.0,32.1,23.1,26.7,25.6,26.0,19.0
Villa del Parque,2012-09-04,Oestesuroeste,Noroeste,2.6,87.0,85.0,109914,si,5.2,20.6,7.0,7.0,997.4,997.4,,,13.2,6.5,10.0,8.4,11.0,13.0
Almagro,2012-09-26,Este,Nornoreste,,45.0,67.0,4374,no,,0.2,,,1017.6,1022.5,Estesureste,35.0,24.1,10.4,23.2,17.3,13.0,13.0
Villa Real,2015-07-24,Norte,Nornoreste,5.2,45.0,70.0,132328,no,2.8,0.0,7.0,6.0,1002.2,1011.3,Norte,50.0,15.1,4.4,14.8,9.6,30.0,19.0
Coghlan,2015-09-11,Estenoreste,Sursuroeste,,36.0,66.0,26513,no,,0.0,,,,,Noreste,30.0,23.4,9.8,22.7,15.7,11.0,4.0
Villa Devoto,2015-11-07,Sursureste,Sursureste,,53.0,71.0,114023,no,,0.2,,,1015.8,1016.1,Sur,41.0,21.8,14.6,20.3,17.7,20.0,20.0
Villa Pueyrredón,2013-03-24,Noroeste,Noroeste,,77.0,81.0,128283,no,,0.0,,,1014.2,1017.5,Oestenoroeste,30.0,23.6,16.1,21.6,19.2,20.0,15.0
Mataderos,2013-01-16,Estenoreste,Noroeste,,21.0,64.0,50468,no,,0.0,,,1010.1,1014.1,Estenoreste,39.0,33.8,10.9,31.2,19.0,11.0,6.0
Constitución,2012-02-29,Sursuroeste,Sursuroeste,0.0,92.0,89.0,31635,si,4.8,2.8,,,1012.5,1013.9,Sureste,52.0,22.0,20.2,21.1,20.5,15.0,20.0
Recoleta,2010-04-15,Sur,,1.5,73.0,95.0,81467,no,1.8,0.4,,,1024.7,1026.3,Estesureste,30.0,17.9,12.3,17.1,13.4,15.0,0.0
Monte Castro,2016-09-25,suroeste,Oestesuroeste,,98.0,98.0,54828,no,,0.0,,,,,Oestesuroeste,48.0,5.9,1.8,4.3,4.4,19.0,20.0
San Nicolás,2015-07-20,Este,Sursuroeste,2.5,53.0,56.0,95613,no,5.4,0.0,7.0,6.0,1019.2,1022.4,Este,37.0,23.9,13.7,22.9,19.6,20.0,2.0
Parque Chas,2013-05-20,Oeste,Nornoreste,,78.0,79.0,73482,no,,0.4,,,1015.4,1016.8,Oeste,26.0,15.6,6.6,14.7,9.9,17.0,13.0
Puerto Madero,2017-03-31,Sur,,6.7,47.0,100.0,80911,si,5.0,4.8,4.0,4.0,1019.8,1022.3,Sursuroeste,20.0,18.9,7.1,16.5,9.4,11.0,0.0
Parque Chacabuco,2010-09-17,Sur,Sursuroeste,10.8,39.0,52.0,71017,no,2.8,0.0,0.0,0.0,1025.7,1029.2,Sur,30.0,16.5,4.7,16.0,11.2,9.0,17.0
Núñez,2010-07-19,Sur,Oeste,6.8,56.0,87.0,61746,no,2.6,0.0,4.0,6.0,1018.5,1018.6,Oestesuroeste,35.0,13.6,4.9,12.1,9.0,7.0,17.0
Monserrat,2012-10-07,Sursuroeste,Sursuroeste,,74.0,98.0,56478,si,,3.4,8.0,8.0,1019.3,1020.3,suroeste,35.0,11.3,2.7,9.9,6.5,19.0,17.0
Liniers,2008-07-05,Oestenoroeste,,7.0,55.0,81.0,45834,no,1.4,0.0,2.0,1.0,1028.9,1032.9,Oeste,13.0,14.2,-0.1,12.6,4.7,2.0,
Retiro,2013-06-17,Oeste,Oeste,9.8,36.0,50.0,85730,no,2.2,0.0,1.0,1.0,1008.1,1011.7,Oeste,33.0,20.3,8.9,19.6,15.1,13.0,9.0
Núñez,2017-04-06,Noroeste,Oeste,,27.0,72.0,64110,no,,0.0,,,1021.8,1024.6,Nornoreste,31.0,26.0,6.4,25.2,14.3,15.0,7.0
Barracas,2009-03-21,Estesureste,suroeste,6.3,70.0,82.0,9137,no,4.2,0.0,5.0,5.0,1015.1,1016.7,Sur,31.0,26.4,17.9,23.9,22.4,13.0,19.0
Villa Devoto,2014-03-29,Oestesuroeste,Noroeste,,57.0,78.0,113435,no,,0.0,,,1007.3,1007.2,Oeste,57.0,19.8,15.7,17.7,19.7,19.0,22.0
Almagro,2009-10-12,Sur,,,67.0,82.0,3324,no,,0.0,,,1006.5,1011.7,Oestenoroeste,56.0,22.6,5.8,18.7,13.2,4.0,0.0
Floresta,2009-09-25,Nornoreste,Norte,8.1,22.0,51.0,36796,no,2.4,0.0,7.0,1.0,1003.0,1011.3,Oestesuroeste,81.0,24.1,3.6,22.8,15.4,28.0,19.0
Villa Ortúzar,2009-09-29,Sur,,,83.0,90.0,124102,si,,9.6,,,,,suroeste,37.0,13.7,6.8,9.1,10.9,22.0,0.0
Núñez,2012-05-02,Oeste,Oeste,0.0,88.0,94.0,62369,si,1.4,1.8,8.0,8.0,1021.8,1021.6,Oeste,31.0,13.4,8.3,11.8,13.4,19.0,20.0
San Nicolás,2015-02-09,Estenoreste,Sureste,8.0,59.0,57.0,95452,si,3.2,4.2,5.0,7.0,1011.7,1015.2,Estesureste,39.0,32.8,24.6,31.2,28.8,30.0,17.0
Recoleta,2017-03-12,Sursuroeste,Noroeste,,66.0,97.0,83901,si,,10.0,,,1003.5,1002.4,Sur,31.0,21.5,14.4,20.2,16.4,20.0,9.0
La Paternal,2012-03-09,Este,Oestesuroeste,,76.0,67.0,43711,si,,16.2,8.0,,1007.7,1008.4,Sur,39.0,25.4,14.5,21.8,20.0,17.0,15.0
Villa General Mitre,2012-01-22,Oestesuroeste,suroeste,10.6,49.0,60.0,115706,no,,0.0,,,1009.9,1010.6,suroeste,46.0,32.4,22.9,29.3,26.1,24.0,15.0
Villa Luro,2009-11-02,Estesureste,Este,12.7,23.0,42.0,121127,no,8.4,0.0,1.0,0.0,1020.9,1024.4,Estenoreste,37.0,26.4,10.6,25.6,16.8,11.0,19.0
Villa Riachuelo,2016-03-04,Noroeste,,,48.0,85.0,135592,no,,0.0,,,,,Noroeste,28.0,26.7,12.3,26.2,16.1,13.0,0.0
Villa del Parque,2016-08-10,,Noreste,,,88.0,111291,si,1.6,19.2,,4.0,1019.3,1021.3,,,17.2,8.5,,11.5,,20.0
Floresta,2009-09-13,Noroeste,Norte,9.5,5.0,24.0,36784,no,8.0,0.0,1.0,1.0,1012.6,1018.3,Oestesuroeste,63.0,30.2,12.1,29.5,20.2,37.0,24.0
Almagro,2012-01-23,Estesureste,Sureste,,57.0,75.0,4127,si,,1.4,,,1020.8,1022.9,Este,35.0,25.5,15.7,23.0,20.9,17.0,9.0
Palermo,2016-02-20,Sursureste,Sursuroeste,9.5,37.0,57.0,66708,no,4.0,0.0,1.0,7.0,1022.4,1021.7,Sursureste,44.0,22.3,13.8,20.4,15.5,28.0,11.0
Parque Patricios,2010-08-05,Oestesuroeste,Oestesuroeste,3.6,63.0,86.0,75561,si,0.0,3.0,8.0,7.0,1021.5,1021.7,Oestesuroeste,41.0,11.8,6.7,11.0,8.2,20.0,22.0
Villa Luro,2014-05-09,Oestenoroeste,Oeste,8.8,68.0,71.0,122687,si,3.4,4.6,7.0,6.0,1014.3,1014.4,Oeste,37.0,22.1,13.3,20.1,19.6,13.0,11.0
Villa Devoto,2016-10-13,Noroeste,Oestenoroeste,,56.0,78.0,114364,no,,0.0,,,1008.9,1010.2,Oestenoroeste,46.0,20.0,10.2,19.0,15.8,22.0,20.0
Villa Pueyrredón,2013-01-09,Oestesuroeste,Oestesuroeste,,58.0,63.0,128237,no,,0.0,,,1008.8,1010.4,Oeste,43.0,24.4,18.7,23.4,21.0,22.0,19.0
Saavedra,2015-01-21,Norte,Oestenoroeste,10.2,69.0,64.0,89353,si,7.2,5.0,8.0,7.0,1001.2,1005.9,Noroeste,50.0,35.5,24.1,32.7,31.2,30.0,26.0
Almagro,2012-07-26,Nornoreste,Noroeste,,57.0,100.0,4312,no,,0.0,,,1010.7,1015.5,Noroeste,41.0,18.4,5.3,18.1,9.1,15.0,4.0
Villa Real,2013-09-06,Oestenoroeste,Noroeste,7.9,35.0,48.0,131642,no,5.6,0.0,,,1014.0,1015.6,Noroeste,70.0,18.3,12.7,17.6,15.1,26.0,28.0
Constitución,2017-03-22,Este,Sureste,4.4,57.0,82.0,33424,si,6.0,25.6,6.0,7.0,1010.7,1012.6,Oestesuroeste,63.0,31.9,22.3,29.8,23.9,19.0,4.0
San Cristóbal,2013-08-10,Noreste,Oestenoroeste,,47.0,53.0,91864,no,,0.0,,,1015.4,1017.2,Oestenoroeste,20.0,23.4,9.9,22.5,17.3,15.0,7.0
Versalles,2016-02-12,Oeste,Este,12.8,14.0,52.0,105062,no,10.0,0.0,1.0,2.0,1011.4,1015.0,Oeste,33.0,34.4,15.6,33.4,22.3,19.0,13.0
Villa Ortúzar,2010-10-02,,,,38.0,92.0,124462,si,,1.8,,,,,,,27.1,11.0,24.5,14.9,,
Flores,2016-02-16,Sursureste,suroeste,10.8,55.0,52.0,36033,no,7.0,0.0,2.0,1.0,1008.9,1009.1,Sursureste,48.0,26.5,21.1,25.3,24.1,35.0,22.0
Vélez Sársfield,2012-04-29,Sur,Noroeste,3.8,52.0,79.0,100728,si,2.2,4.2,7.0,6.0,1025.2,1027.0,Sureste,19.0,16.9,7.3,14.9,11.3,9.0,6.0
Parque Patricios,2009-11-26,Nornoreste,Noreste,0.4,95.0,85.0,75309,si,4.2,5.6,8.0,8.0,1005.8,1008.9,Nornoreste,48.0,23.7,14.7,21.3,20.2,7.0,6.0
Chacarita,2017-03-23,Este,Estenoreste,,55.0,57.0,24033,no,4.0,0.0,8.0,8.0,1018.1,1020.4,Nornoreste,30.0,24.0,17.0,22.1,21.5,13.0,7.0
Nueva Pompeya,2016-12-28,Nornoreste,Noreste,,27.0,38.0,61002,no,,0.2,2.0,7.0,999.7,1003.2,Norte,70.0,37.6,20.7,36.6,27.5,39.0,19.0
La Boca,2013-08-12,Oestenoroeste,Noroeste,,25.0,54.0,41133,si,17.8,3.0,7.0,2.0,1004.2,1008.1,Oestenoroeste,63.0,27.1,6.8,24.6,16.8,43.0,13.0
Liniers,2011-12-15,Noreste,Este,7.9,35.0,63.0,47062,no,,0.0,1.0,5.0,1015.0,1018.5,Estenoreste,37.0,23.7,11.1,22.4,14.4,13.0,9.0
Flores,2011-07-25,Oeste,Nornoreste,6.0,46.0,69.0,34425,no,1.6,0.0,4.0,6.0,1014.7,1017.8,Oestesuroeste,46.0,18.6,7.9,17.7,12.0,13.0,13.0
Nueva Pompeya,2013-10-20,Noroeste,Estenoreste,,12.0,44.0,59837,no,6.3,0.0,2.0,,1011.3,1015.7,Nornoreste,52.0,33.3,7.2,32.0,17.9,28.0,9.0
Retiro,2016-02-28,Estesureste,Sursuroeste,11.1,53.0,60.0,86716,no,11.2,0.0,3.0,6.0,1011.4,1014.7,Sursureste,33.0,32.9,23.0,30.7,28.6,13.0,7.0
Parque Chas,2015-11-18,Noroeste,Norte,,11.0,28.0,74394,no,,0.0,,,1009.3,1013.1,Oeste,63.0,40.1,11.8,37.2,23.6,22.0,2.0
Nueva Pompeya,2012-09-26,Nornoreste,Noreste,,31.0,55.0,59507,no,,0.0,,,1012.6,1018.7,Noreste,46.0,21.6,1.9,20.7,13.3,31.0,19.0
Villa General Mitre,2012-03-25,Oestesuroeste,Estenoreste,2.7,41.0,62.0,115769,no,,0.0,,1.0,1012.2,1014.9,suroeste,28.0,28.4,18.0,26.6,21.7,15.0,11.0
Boedo,2017-06-19,,Oeste,,,84.0,18109,si,,20.0,,6.0,,,,,20.3,13.0,,15.0,,28.0
Barracas,2012-11-17,suroeste,suroeste,,81.0,91.0,10444,si,2.8,4.2,8.0,7.0,1012.8,1014.1,Nornoreste,43.0,22.6,18.7,20.7,18.7,15.0,17.0
Recoleta,2014-07-21,Norte,,4.6,79.0,100.0,82936,no,1.6,0.0,,,1023.2,1025.8,Norte,20.0,12.8,1.1,12.5,3.4,6.0,0.0
Liniers,2008-05-18,Oestenoroeste,Nornoreste,8.8,53.0,71.0,45786,no,1.6,0.8,6.0,6.0,1008.3,1008.4,Noroeste,41.0,14.1,4.3,13.3,7.9,26.0,13.0
Parque Chas,2014-06-20,Noroeste,Nornoreste,,72.0,83.0,73878,no,,0.0,,,1010.9,1013.1,Noroeste,46.0,16.4,6.2,16.1,7.5,24.0,17.0
Retiro,2016-01-09,Estenoreste,Oestenoroeste,12.6,54.0,57.0,86666,no,9.6,0.0,1.0,5.0,1017.2,1020.7,Estenoreste,26.0,30.3,19.4,28.1,26.0,13.0,6.0
Villa Luro,2015-12-01,Sureste,Este,13.1,22.0,45.0,123258,no,12.0,0.0,0.0,0.0,1017.2,1021.7,Estesureste,50.0,29.2,14.2,28.4,20.1,13.0,15.0
Agronomía,2015-09-04,Oestenoroeste,Sureste,,57.0,82.0,2379,si,,1.2,3.0,,1021.0,1023.3,Oestenoroeste,24.0,17.5,3.4,15.5,9.8,13.0,6.0
Parque Patricios,2016-06-14,Oestenoroeste,Nornoreste,,60.0,76.0,77612,no,,0.0,,7.0,1032.6,1033.7,Nornoreste,33.0,14.9,3.9,14.2,7.7,15.0,19.0
San Telmo,2012-02-26,suroeste,Nornoreste,2.6,37.0,25.0,97625,no,,0.0,,,1008.8,1008.6,Norte,48.0,33.1,28.1,30.7,30.7,15.0,15.0
Liniers,2016-09-08,Noroeste,Nornoreste,,61.0,85.0,48732,no,,0.0,8.0,7.0,1024.1,1029.1,Nornoreste,48.0,20.0,6.9,17.3,12.4,22.0,2.0
Versalles,2015-07-26,Oestesuroeste,Oestesuroeste,7.8,62.0,80.0,104861,si,3.1,6.5,,3.0,1024.5,1022.1,Oestesuroeste,63.0,10.2,5.6,9.4,7.2,30.0,22.0
Villa Lugano,2013-12-14,Oeste,Estenoreste,13.3,16.0,24.0,119348,no,11.4,0.0,1.0,1.0,1010.1,1012.8,Estenoreste,37.0,40.3,17.0,35.8,32.4,26.0,17.0
Belgrano,2013-12-13,Oeste,Noreste,13.3,7.0,45.0,13785,no,12.0,0.0,3.0,0.0,1008.3,1011.3,Oestesuroeste,31.0,35.6,15.4,34.4,24.8,9.0,20.0
Parque Patricios,2016-06-28,Noroeste,Noroeste,,82.0,94.0,77626,no,,0.2,8.0,,1022.3,1022.4,Oestenoroeste,43.0,15.4,6.6,13.6,10.5,20.0,15.0
Vélez Sársfield,2017-03-17,Sureste,Sursureste,,37.0,76.0,102452,no,,0.0,,,1023.9,1024.9,Sur,48.0,23.8,5.4,23.1,14.1,15.0,11.0
Villa Santa Rita,2012-01-14,Estesureste,Estesureste,,15.0,15.0,137180,no,14.6,0.0,7.0,7.0,1008.0,1011.6,Este,37.0,33.0,21.5,30.4,27.0,13.0,24.0
Villa Santa Rita,2014-06-24,Sursureste,Sursureste,3.5,38.0,48.0,138013,no,4.6,0.0,6.0,7.0,1023.7,1026.4,Sureste,33.0,14.6,9.1,14.0,10.6,17.0,17.0
Palermo,2017-04-18,Sur,Oestesuroeste,9.5,49.0,89.0,67131,no,2.0,0.0,1.0,1.0,1025.7,1026.8,Sursureste,22.0,21.4,9.8,21.1,14.5,7.0,7.0
